,keyword,Searchvolume,cpc,cmp
478,anu furniture habsiguda,40,0.412462,0.36293436293436293
479,buy furniture online kerala,40,0.145561,1.0
480,best cheap furniture online,40,0.073428,0.9523809523809524
481,cheap furniture online shopping,40,0.057381,1.0
482,furniture shop website,40,0.193315,0.9850498338870433
483,cheapest home furniture,40,0.097037,0.9354207436399216
484,buy wooden furniture,40,0.113803,1.0
485,famous furniture shops in hyderabad,40,0.280667,1.0
486,sofa set with exchange offer,40,0.184799,1.0
487,furniture and prices,40,0.00969,1.0
488,buy furniture in pune,40,0.368518,0.8809523809523809
489,furniture near me stores,40,0.269721,0.8819875776397516
490,furniture kart,40,0.135021,1.0
491,buy furniture in hyderabad,40,0.224714,1.0
492,with furniture,40,0.01911,0.3617511520737327
493,emi furniture shop,40,0.190985,1.0
494,cheap and best furniture shop near me,40,0.227352,0.991869918699187
495,furniture online shopping websites,40,0.148841,0.8913043478260869
496,plywood furniture online,40,0.095332,0.9887218045112781
497,furniture on emi in mumbai,40,0.167524,1.0
498,sofa offers online,40,0.092137,0.9931972789115646
499,website to buy furniture,40,0.173192,1.0
500,office sofa set online,40,0.084074,0.9876543209876543
501,cheap sofa set near me,40,0.091458,0.974937343358396
502,low price furniture near me,40,0.095711,1.0
503,buy sofa near me,40,0.238126,1.0
504,furniture combo set,40,0.113042,0.8928571428571429
505,royal furniture online,40,0.046884,1.0
506,branded sofa set online,40,0.136607,1.0
507,home furniture mumbai,40,0.396994,1.0
508,modern furniture bangalore,40,0.406493,1.0
509,furniture shops near me open today,40,0.079456,1.0
510,ready made furniture online,40,0.190843,1.0
511,best furniture showroom in bangalore,40,0.374524,1.0
512,furniture shops in,40,0.07332,0.972972972972973
513,sofa exchange offer online,40,0.120041,0.984472049689441
514,good furniture shops in hyderabad,40,0.243545,1.0
515,cheap rate furniture,40,0.037494,1.0
516,furniture stores near me sofa,40,0.134341,1.0
517,low cost furniture online,40,0.06326,1.0
518,office sofa online,40,0.138251,1.0
519,furniture on installment near me,40,0.092763,0.9775510204081633
520,near me furniture,30,0.254299,0.7405247813411079
521,online sofa store,30,0.218106,1.0
522,sofa in emi,30,0.148649,1.0
523,table furniture near me,30,0.078473,1.0
524,anu furniture international mall kukatpally,30,,0.11607142857142858
525,cheap wooden furniture online,30,0.075916,1.0
526,buy solid wood furniture online,30,0.285335,1.0
527,furniture best deals,30,0.102412,1.0
528,reasonable furniture,30,0.151879,0.9971988795518208
529,sofa sell online,30,0.218772,0.9818181818181818
530,online sofa set low price,30,0.068285,1.0
531,book furniture online,30,0.179398,1.0
532,more furnitures,30,,0.9734219269102989
533,andhra furniture hyderabad,30,0.384394,1.0
534,metal furniture online shopping,30,0.040957,1.0
